EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Species,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate
t72,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Elaeis guineensis,Elaeis guineensis,,,NA,Elaeis guineensis,,,Yes,a15.1,a15.2,a15
t73,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Entada abyssinica,Entada abyssinica,,,NA,Entada abyssinica,,,Yes,a15.1,a15.2,a15
t167,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Entandrophragma angolense,Entandrophragma angolense,,,NA,Entandrophragma angolense,,,Yes,a15.1,a15.2,a15
t166,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Entandrophragma cylindricum,Entandrophragma cylindricum,,,NA,Entandrophragma cylindricum,,,Yes,a15.1,a15.2,a15
t182,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Eriosema ellipticum,Eriosema ellipticum,,,NA,Eriosema ellipticum,,Yes,Yes,a16.1,a16.2,a16
t74,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Erythrina abyssinica,Erythrina abyssinica,,,NA,Erythrina abyssinica,,,Yes,a15.1,a15.2,a15
t75,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Erythrina poeppigiana,Erythrina poeppigiana,,,NA,Erythrina poeppigiana,,,Yes,a15.1,a15.2,a15
t172,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Eucalpytus sp,Eucalpytus sp,,,NA,Eucalpytus sp,,,Yes,a15.1,a15.2,a15
t76,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Eucalyptus alba,Eucalyptus alba,,,NA,Eucalyptus alba,,,Yes,a15.1,a15.2,a15
t77,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Eucalyptus camaldulensis,Eucalyptus camaldulensis,,,NA,Eucalyptus camaldulensis,,,Yes,a15.1,a15.2,a15
t78,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Eucalyptus globulus,Eucalyptus globulus,,,NA,Eucalyptus globulus,,,Yes,a15.1,a15.2,a15
t79,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Eucalyptus saligna,Eucalyptus saligna,,,NA,Eucalyptus saligna,,,Yes,a15.1,a15.2,a15
t80,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Euclea racemosa,Euclea racemosa,,,NA,Euclea racemosa,,,Yes,a15.1,a15.2,a15
t1,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Faidherbia albida,Faidherbia albida,,,NA,Faidherbia albida,,Yes,Yes,a16.1,a16.2,a16
t188,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Fernandoa madagascariensis,Fernandoa madagascariensis,,,NA,Fernandoa madagascariensis,,No,Yes,a17.1,a17.2,a17
t170,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Ficus exasperata,Ficus exasperata,,,NA,Ficus exasperata,,,Yes,a15.1,a15.2,a15
t83,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Ficus laurifolia,Ficus laurifolia,,,NA,Ficus laurifolia,,,Yes,a15.1,a15.2,a15
t82,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Ficus natalensis,Ficus natalensis,,,NA,Ficus natalensis,,Yes,Yes,a16.1,a16.2,a16
t84,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Ficus polita,Ficus polita,,,NA,Ficus polita,,,Yes,a15.1,a15.2,a15
t85,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Ficus sur,Ficus sur,,,NA,Ficus sur,,,Yes,a15.1,a15.2,a15
t87,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Flemingia macrophylla,Flemingia macrophylla,,,NA,Flemingia macrophylla,,,Yes,a15.1,a15.2,a15
t86,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Flemingia sp,Flemingia sp,,,NA,Flemingia sp,,,Yes,a15.1,a15.2,a15
t88,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Gliricida sepium,Gliricida sepium,,,NA,Gliricida sepium,,,Yes,a15.1,a15.2,a15
t89,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Gliricidia,Gliricidia,,,NA,Gliricidia,,,Yes,a15.1,a15.2,a15
t90,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Gliricidia maculata,Gliricidia maculata,,,NA,Gliricidia maculata,,,Yes,a15.1,a15.2,a15
t92,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Glycine wightii,Glycine wightii,,,NA,Glycine wightii,,,Yes,a15.1,a15.2,a15
t93,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Gmelina arborea,Gmelina arborea,,,NA,Gmelina arborea,,,Yes,a15.1,a15.2,a15
t94,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Grevillea robusta,Grevillea robusta,,,NA,Grevillea robusta,,,Yes,a15.1,a15.2,a15
t95,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Guiera senegalensis,Guiera senegalensis,,,NA,Guiera senegalensis,,,Yes,a15.1,a15.2,a15
t96,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Harrisonia abyssinica,Harrisonia abyssinica,,,NA,Harrisonia abyssinica,,,Yes,a15.1,a15.2,a15
t183,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Indigofera sp,Indigofera sp,,,NA,Indigofera sp,,Yes,Yes,a16.1,a16.2,a16
t97,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Jatropha curcas,Jatropha curcas,,,NA,Jatropha curcas,,,Yes,a15.1,a15.2,a15
t98,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Julbernardia globiflora,Julbernardia globiflora,,,NA,Julbernardia globiflora,,,Yes,a15.1,a15.2,a15
t181,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Juniperus procera,Juniperus procera,,,NA,Juniperus procera,,,Yes,a15.1,a15.2,a15
t99,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Khaya senegalensis,Khaya senegalensis,,,NA,Khaya senegalensis,,,Yes,a15.1,a15.2,a15
t100,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Lablab purpureus,Lablab purpureus,,,NA,Lablab purpureus,,,Yes,a15.1,a15.2,a15
t101,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Leucaena diversifolia,Leucaena diversifolia,,,NA,Leucaena diversifolia,,,Yes,a15.1,a15.2,a15
t102,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Leucaena leucocephala,Leucaena leucocephala,,,NA,Leucaena leucocephala,,,Yes,a15.1,a15.2,a15
t103,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Leucaena pallida,Leucaena pallida,,,NA,Leucaena pallida,,,Yes,a15.1,a15.2,a15
t104,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Leucaena trichandra,Leucaena trichandra,,,NA,Leucaena trichandra,,,Yes,a15.1,a15.2,a15
t105,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Lippia javanica,Lippia javanica,,,NA,Lippia javanica,,,Yes,a15.1,a15.2,a15
t106,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Macroptilium atropurpureum,Macroptilium atropurpureum,,,NA,Macroptilium atropurpureum,,,Yes,a15.1,a15.2,a15
t107,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Macrotyloma axillare,Macrotyloma axillare,,,NA,Macrotyloma axillare,,,Yes,a15.1,a15.2,a15
t184,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Macrotyloma daltonii,Macrotyloma daltonii,,,NA,Macrotyloma daltonii,,Yes,Yes,a16.1,a16.2,a16
t108,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Maesopsis eminii,Maesopsis eminii,,,NA,Maesopsis eminii,,,Yes,a15.1,a15.2,a15
t109,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Mangifera indica,Mangifera indica,,,NA,Mangifera indica,,,Yes,a15.1,a15.2,a15
t110,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Markhamia lutea,Markhamia lutea,,,NA,Markhamia lutea,,,Yes,a15.1,a15.2,a15
t111,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Melia azedarach,Melia azedarach,,,NA,Melia azedarach,,,Yes,a15.1,a15.2,a15
